Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,cOnline,CreditCard
null,1,500,33130,4,1.6,Superior,500,true,true,true,true,378282246310005
0.1,1,500,33131,4,1.6,Superior,500,true,true,true,true,378282246310005
-1,1,500,33132,4,1.6,Superior,500,true,true,true,true,378282246310005
8,1,500,33133,4,1.6,Superior,500,true,true,true,true,378282246310005
101,1,500,33134,4,1.6,Superior,500,true,true,true,true,378282246310005
"""A""",1,500,33135,4,1.6,Superior,500,true,true,true,true,378282246310005
25,null,500,33136,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0.1,500,33137,4,1.6,Superior,500,true,true,true,true,378282246310005
25,-1,500,33138,4,1.6,Superior,500,true,true,true,true,378282246310005
25,101,500,33139,4,1.6,Superior,500,true,true,true,true,378282246310005
25,"""A""",500,33140,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,null,33141,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,-1,33142,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,99.99,33143,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,1000000,33144,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,"""A""",33145,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,null,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,1234,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,123456,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,ABCDE,4,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,null,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,-1,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,100,1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,"""A""",1.6,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,0,null,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,0,-1,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,0,1000000,Superior,500,true,true,true,true,378282246310005
25,0,100,12345,0,"""A""",Superior,500,true,true,true,true,378282246310005
25,0,100,12345,0,0,null,500,true,true,true,true,378282246310005
25,0,100,12345,0,0,Initial,500,true,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,null,true,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,-1,true,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,99,true,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,1000000,true,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,"""A""",true,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,500,null,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,501,1,true,true,true,378282246310005
25,0,100,12345,0,0,Superior,502,"""A""",true,true,true,378282246310005
25,0,100,12345,0,0,Superior,503,true,null,true,true,378282246310005
25,0,100,12345,0,0,Superior,504,true,1,true,true,378282246310005
25,0,100,12345,0,0,Superior,505,true,"""A""",true,true,378282246310005
25,0,100,12345,0,0,Superior,506,true,true,null,true,378282246310005
25,0,100,12345,0,0,Superior,507,true,true,1,true,378282246310005
25,0,100,12345,0,0,Superior,508,true,true,"""A""",true,378282246310005
25,0,100,12345,0,0,Superior,509,true,true,true,null,378282246310005
25,0,100,12345,0,0,Superior,510,true,true,true,1,378282246310005
25,0,100,12345,0,0,Superior,511,true,true,true,"""A""",378282246310005
25,0,100,12345,0,0,Superior,512,true,true,true,true,null
25,0,100,12345,0,0,Superior,513,true,true,true,true,"0,00000000123"
25,0,100,12345,0,0,Superior,514,true,true,true,true,-37828224631000
25,0,100,12345,0,0,Superior,515,true,true,true,true,378ABCDEFGHIJ
